ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	ai.cyr3con.gargoyl3.gatling.simulations.VulnerabilitiesSimulation	vulnerabilitiessimulation	1646738112385	 	3.3.1
USER	get random vulnerabilities info (from Mongo)	72	END	1646738114052	1646738117102
REQUEST	71		info (Mongo)	1646738114230	1646738117249	OK	 
USER	get random vulnerabilities info (from Mongo)	71	END	1646738114037	1646738117251
REQUEST	69		info (Mongo)	1646738114217	1646738117327	OK	 
USER	get random vulnerabilities info (from Mongo)	69	END	1646738114037	1646738117327
REQUEST	68		info (Mongo)	1646738114216	1646738117452	OK	 
USER	get random vulnerabilities info (from Mongo)	68	END	1646738114036	1646738117453
REQUEST	130		info (ES)	1646738114227	1646738117620	OK	 
USER	get random vulnerabilities info (from ES)	130	END	1646738114121	1646738117621
REQUEST	126		info (ES)	1646738114225	1646738117672	OK	 
USER	get random vulnerabilities info (from ES)	126	END	1646738114120	1646738117673
REQUEST	117		rankings - recent	1646738114156	1646738117845	OK	 
USER	get rankings recent	117	END	1646738114115	1646738117862
REQUEST	118		rankings - recent	1646738114155	1646738118036	OK	 
USER	get rankings recent	118	END	1646738114115	1646738118051
REQUEST	114		rankings - recent	1646738114116	1646738118161	OK	 
USER	get rankings recent	114	END	1646738114114	1646738118169
REQUEST	122		rankings - recent	1646738114157	1646738118187	OK	 
USER	get rankings recent	122	END	1646738114116	1646738118206
REQUEST	79		rankings - low base score	1646738114096	1646738118602	OK	 
USER	get rankings low base score	79	END	1646738114093	1646738118631
REQUEST	81		rankings - low base score	1646738114115	1646738118629	OK	 
USER	get rankings low base score	81	END	1646738114095	1646738118659
REQUEST	56		rankings - top	1646738114166	1646738119057	OK	 
USER	get rankings top	56	END	1646738114034	1646738119190
REQUEST	48		rankings - top	1646738114158	1646738120295	OK	 
USER	get rankings top	48	END	1646738114033	1646738120424
REQUEST	76		info (Mongo)	1646738114326	1646738120578	OK	 
REQUEST	74		info (Mongo)	1646738114322	1646738120579	OK	 
REQUEST	73		info (Mongo)	1646738114308	1646738120579	OK	 
REQUEST	70		info (Mongo)	1646738114229	1646738120580	OK	 
USER	get random vulnerabilities info (from Mongo)	74	END	1646738114053	1646738120579
USER	get random vulnerabilities info (from Mongo)	73	END	1646738114052	1646738120579
USER	get random vulnerabilities info (from Mongo)	70	END	1646738114037	1646738120580
USER	get random vulnerabilities info (from Mongo)	76	END	1646738114053	1646738120582
REQUEST	55		rankings - top	1646738114165	1646738122070	OK	 
USER	get rankings top	55	END	1646738114034	1646738122164
REQUEST	47		rankings - top	1646738114157	1646738123258	OK	 
USER	get rankings top	47	END	1646738114032	1646738123357
REQUEST	49		rankings - top	1646738114158	1646738124449	OK	 
USER	get rankings top	49	END	1646738114033	1646738124590
REQUEST	51		rankings - top	1646738114159	1646738125521	OK	 
USER	get rankings top	51	END	1646738114033	1646738125669
REQUEST	54		rankings - top	1646738114165	1646738125631	OK	 
USER	get rankings top	54	END	1646738114034	1646738125760
REQUEST	53		rankings - top	1646738114159	1646738125745	OK	 
USER	get rankings top	53	END	1646738114034	1646738125861
REQUEST	50		rankings - top	1646738114158	1646738126278	OK	 
REQUEST	52		rankings - top	1646738114159	1646738126230	OK	 
USER	get rankings top	52	END	1646738114033	1646738126430
USER	get rankings top	50	END	1646738114033	1646738126431
